Id,ActivityHour,activity_date,hour,StepTotal,Calories,TotalIntensity,AverageIntensity,date,weekday,hour_bucket
1503960366,2016-04-12 00:00:00,2016-04-12,0,373.0,81.0,20.0,0.333333,2016-04-12,Tuesday,Night
1503960366,2016-04-12 01:00:00,2016-04-12,1,160.0,61.0,8.0,0.133333,2016-04-12,Tuesday,Night
1503960366,2016-04-12 02:00:00,2016-04-12,2,151.0,59.0,7.0,0.116667,2016-04-12,Tuesday,Night
1503960366,2016-04-12 03:00:00,2016-04-12,3,0.0,47.0,0.0,0.0,2016-04-12,Tuesday,Night
1503960366,2016-04-12 04:00:00,2016-04-12,4,0.0,48.0,0.0,0.0,2016-04-12,Tuesday,Night
1503960366,2016-04-12 05:00:00,2016-04-12,5,0.0,48.0,0.0,0.0,2016-04-12,Tuesday,Night
1503960366,2016-04-12 06:00:00,2016-04-12,6,0.0,48.0,0.0,0.0,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 07:00:00,2016-04-12,7,0.0,47.0,0.0,0.0,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 08:00:00,2016-04-12,8,250.0,68.0,13.0,0.216667,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 09:00:00,2016-04-12,9,1864.0,141.0,30.0,0.5,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 10:00:00,2016-04-12,10,676.0,99.0,29.0,0.483333,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 11:00:00,2016-04-12,11,360.0,76.0,12.0,0.2,2016-04-12,Tuesday,Morning
1503960366,2016-04-12 12:00:00,2016-04-12,12,253.0,73.0,11.0,0.183333,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 13:00:00,2016-04-12,13,221.0,66.0,6.0,0.1,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 14:00:00,2016-04-12,14,1166.0,110.0,36.0,0.6,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 15:00:00,2016-04-12,15,2063.0,151.0,58.0,0.966667,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 16:00:00,2016-04-12,16,344.0,76.0,13.0,0.216667,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 17:00:00,2016-04-12,17,489.0,83.0,16.0,0.266667,2016-04-12,Tuesday,Afternoon
1503960366,2016-04-12 18:00:00,2016-04-12,18,1386.0,124.0,29.0,0.483333,2016-04-12,Tuesday,Evening
1503960366,2016-04-12 19:00:00,2016-04-12,19,558.0,104.0,39.0,0.65,2016-04-12,Tuesday,Evening
1503960366,2016-04-12 20:00:00,2016-04-12,20,1733.0,132.0,41.0,0.683333,2016-04-12,Tuesday,Evening
1503960366,2016-04-12 21:00:00,2016-04-12,21,684.0,100.0,31.0,0.516667,2016-04-12,Tuesday,Evening
1503960366,2016-04-12 22:00:00,2016-04-12,22,89.0,65.0,9.0,0.15,2016-04-12,Tuesday,Evening
1503960366,2016-04-12 23:00:00,2016-04-12,23,338.0,81.0,21.0,0.35,2016-04-12,Tuesday,Evening
1503960366,2016-04-13 00:00:00,2016-04-13,0,144.0,69.0,14.0,0.233333,2016-04-13,Wednesday,Night
1503960366,2016-04-13 01:00:00,2016-04-13,1,0.0,48.0,0.0,0.0,2016-04-13,Wednesday,Night
1503960366,2016-04-13 02:00:00,2016-04-13,2,0.0,47.0,0.0,0.0,2016-04-13,Wednesday,Night
1503960366,2016-04-13 03:00:00,2016-04-13,3,36.0,53.0,4.0,0.066667,2016-04-13,Wednesday,Night
1503960366,2016-04-13 04:00:00,2016-04-13,4,0.0,47.0,0.0,0.0,2016-04-13,Wednesday,Night
1503960366,2016-04-13 05:00:00,2016-04-13,5,0.0,47.0,0.0,0.0,2016-04-13,Wednesday,Night
1503960366,2016-04-13 06:00:00,2016-04-13,6,0.0,48.0,0.0,0.0,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 07:00:00,2016-04-13,7,126.0,59.0,8.0,0.133333,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 08:00:00,2016-04-13,8,275.0,69.0,12.0,0.2,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 09:00:00,2016-04-13,9,1679.0,136.0,27.0,0.45,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 10:00:00,2016-04-13,10,295.0,77.0,15.0,0.25,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 11:00:00,2016-04-13,11,524.0,84.0,16.0,0.266667,2016-04-13,Wednesday,Morning
1503960366,2016-04-13 12:00:00,2016-04-13,12,486.0,82.0,15.0,0.25,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 13:00:00,2016-04-13,13,302.0,72.0,10.0,0.166667,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 14:00:00,2016-04-13,14,1577.0,128.0,46.0,0.766667,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 15:00:00,2016-04-13,15,493.0,79.0,13.0,0.216667,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 16:00:00,2016-04-13,16,299.0,71.0,10.0,0.166667,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 17:00:00,2016-04-13,17,695.0,87.0,23.0,0.383333,2016-04-13,Wednesday,Afternoon
1503960366,2016-04-13 18:00:00,2016-04-13,18,1343.0,118.0,25.0,0.416667,2016-04-13,Wednesday,Evening
1503960366,2016-04-13 19:00:00,2016-04-13,19,258.0,73.0,13.0,0.216667,2016-04-13,Wednesday,Evening
1503960366,2016-04-13 20:00:00,2016-04-13,20,0.0,47.0,0.0,0.0,2016-04-13,Wednesday,Evening
1503960366,2016-04-13 21:00:00,2016-04-13,21,0.0,48.0,0.0,0.0,2016-04-13,Wednesday,Evening
1503960366,2016-04-13 22:00:00,2016-04-13,22,437.0,74.0,11.0,0.183333,2016-04-13,Wednesday,Evening
1503960366,2016-04-13 23:00:00,2016-04-13,23,1766.0,135.0,56.0,0.933333,2016-04-13,Wednesday,Evening
1503960366,2016-04-14 00:00:00,2016-04-14,0,81.0,56.0,4.0,0.066667,2016-04-14,Thursday,Night
1503960366,2016-04-14 01:00:00,2016-04-14,1,58.0,54.0,3.0,0.05,2016-04-14,Thursday,Night
