Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,date,valid_day,weekday,weekend,study_day,study_week,steps_category,active_minutes,active_share,moderate_equivalent,calories_per_step,days_logged
1503960366,2016-04-12,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,2016-04-12,True,Tuesday,0,1,1,Highly active,366.0,0.33455210237659966,63.0,0.15081294636073544,31
1503960366,2016-04-13,10735.0,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21.0,19.0,217.0,776.0,1797.0,2016-04-13,True,Wednesday,0,2,1,Active,257.0,0.24878993223620524,61.0,0.16739636702375407,31
1503960366,2016-04-14,10460.0,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30.0,11.0,181.0,1218.0,1776.0,2016-04-14,True,Thursday,0,3,1,Active,222.0,0.15416666666666667,71.0,0.16978967495219885,31
1503960366,2016-04-15,9762.0,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29.0,34.0,209.0,726.0,1745.0,2016-04-15,True,Friday,0,4,1,Somewhat active,272.0,0.2725450901803607,92.0,0.1787543536160623,31
1503960366,2016-04-16,12669.0,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36.0,10.0,221.0,773.0,1863.0,2016-04-16,True,Saturday,1,5,1,Highly active,267.0,0.2567307692307692,82.0,0.14705185886810324,31
1503960366,2016-04-17,9705.0,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38.0,20.0,164.0,539.0,1728.0,2016-04-17,True,Sunday,1,6,1,Somewhat active,222.0,0.29172141918528255,96.0,0.17805255023183925,31
1503960366,2016-04-18,13019.0,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42.0,16.0,233.0,1149.0,1921.0,2016-04-18,True,Monday,0,7,1,Highly active,291.0,0.20208333333333334,100.0,0.1475535755434365,31
1503960366,2016-04-19,15506.0,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50.0,31.0,264.0,775.0,2035.0,2016-04-19,True,Tuesday,0,8,2,Highly active,345.0,0.3080357142857143,131.0,0.13123952018573457,31
1503960366,2016-04-20,10544.0,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28.0,12.0,205.0,818.0,1786.0,2016-04-20,True,Wednesday,0,9,2,Active,245.0,0.23047977422389465,68.0,0.16938543247344462,31
1503960366,2016-04-21,9819.0,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19.0,8.0,211.0,838.0,1775.0,2016-04-21,True,Thursday,0,10,2,Somewhat active,238.0,0.2211895910780669,46.0,0.1807719727059782,31
1503960366,2016-04-22,12764.0,8.13000011444092,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66.0,27.0,130.0,1217.0,1827.0,2016-04-22,True,Friday,0,11,2,Highly active,223.0,0.15486111111111112,159.0,0.14313694766530868,31
