Id,ActivityHour,samples,mean_bpm,min_bpm,max_bpm
2022484408,2016-04-12 07:00:00,265,83.2,52.0,108.0
2022484408,2016-04-12 08:00:00,379,68.56200527704486,54.0,112.0
2022484408,2016-04-12 09:00:00,383,66.40469973890339,55.0,105.0
2022484408,2016-04-12 10:00:00,479,106.7160751565762,60.0,134.0
2022484408,2016-04-12 11:00:00,408,67.7671568627451,55.0,90.0
2022484408,2016-04-12 12:00:00,386,66.23056994818653,56.0,89.0
2022484408,2016-04-12 13:00:00,208,83.6875,60.0,112.0
2022484408,2016-04-12 14:00:00,454,80.57709251101322,59.0,107.0
2022484408,2016-04-12 15:00:00,364,68.32692307692308,59.0,112.0
2022484408,2016-04-12 16:00:00,416,71.02163461538461,54.0,105.0
2022484408,2016-04-12 17:00:00,424,69.94103773584905,55.0,98.0
2022484408,2016-04-12 18:00:00,378,76.37301587301587,59.0,97.0
2022484408,2016-04-12 19:00:00,292,74.87328767123287,66.0,90.0
2022484408,2016-04-13 07:00:00,333,79.2042042042042,54.0,119.0
2022484408,2016-04-13 08:00:00,424,75.77358490566037,56.0,104.0
2022484408,2016-04-13 09:00:00,475,117.64,74.0,156.0
2022484408,2016-04-13 10:00:00,404,68.73019801980197,56.0,84.0
2022484408,2016-04-13 11:00:00,459,72.49891067538127,51.0,94.0
2022484408,2016-04-13 12:00:00,376,81.17553191489361,61.0,112.0
2022484408,2016-04-13 13:00:00,367,70.07356948228883,57.0,89.0
2022484408,2016-04-13 14:00:00,480,86.69375,54.0,118.0
2022484408,2016-04-13 15:00:00,413,71.86440677966101,53.0,99.0
2022484408,2016-04-13 16:00:00,393,71.29262086513995,55.0,110.0
2022484408,2016-04-13 17:00:00,438,74.21004566210046,57.0,96.0
2022484408,2016-04-13 18:00:00,406,85.96305418719211,68.0,120.0
2022484408,2016-04-13 19:00:00,364,82.35989010989012,67.0,110.0
2022484408,2016-04-14 07:00:00,98,88.35714285714286,79.0,103.0
2022484408,2016-04-14 08:00:00,400,71.19,54.0,102.0
2022484408,2016-04-14 09:00:00,395,69.14936708860759,56.0,101.0
2022484408,2016-04-14 10:00:00,445,63.81348314606742,52.0,87.0
2022484408,2016-04-14 11:00:00,397,66.47607052896726,54.0,92.0
2022484408,2016-04-14 12:00:00,393,71.76335877862596,63.0,80.0
2022484408,2016-04-14 13:00:00,441,70.0453514739229,59.0,99.0
2022484408,2016-04-14 14:00:00,548,87.07664233576642,65.0,118.0
2022484408,2016-04-14 15:00:00,403,63.88585607940447,50.0,94.0
2022484408,2016-04-14 16:00:00,438,68.62557077625571,52.0,101.0
2022484408,2016-04-14 17:00:00,454,69.42070484581498,54.0,101.0
2022484408,2016-04-14 18:00:00,502,87.49402390438247,53.0,127.0
2022484408,2016-04-14 19:00:00,414,71.14975845410628,55.0,104.0
2022484408,2016-04-14 20:00:00,232,73.56896551724138,59.0,88.0
2022484408,2016-04-15 07:00:00,176,90.75,68.0,121.0
2022484408,2016-04-15 08:00:00,451,73.3059866962306,56.0,99.0
2022484408,2016-04-15 09:00:00,525,117.06666666666666,74.0,189.0
2022484408,2016-04-15 10:00:00,364,83.41208791208791,61.0,116.0
2022484408,2016-04-15 11:00:00,398,76.58291457286433,59.0,98.0
2022484408,2016-04-15 12:00:00,388,70.08505154639175,62.0,88.0
2022484408,2016-04-15 13:00:00,466,83.25965665236052,63.0,106.0
2022484408,2016-04-15 14:00:00,452,81.59070796460178,61.0,116.0
2022484408,2016-04-15 15:00:00,413,72.50605326876513,59.0,99.0
2022484408,2016-04-15 16:00:00,480,79.5375,56.0,112.0
2022484408,2016-04-15 17:00:00,455,72.48351648351648,58.0,111.0
2022484408,2016-04-15 18:00:00,440,67.59772727272727,53.0,93.0
2022484408,2016-04-15 19:00:00,294,72.88095238095238,55.0,94.0
2022484408,2016-04-16 07:00:00,44,94.06818181818181,73.0,107.0
2022484408,2016-04-16 08:00:00,148,90.69594594594595,70.0,123.0
2022484408,2016-04-16 09:00:00,449,102.17817371937639,59.0,136.0
2022484408,2016-04-16 10:00:00,443,68.12866817155756,53.0,112.0
2022484408,2016-04-16 11:00:00,400,67.9125,55.0,94.0
2022484408,2016-04-16 12:00:00,428,67.34345794392523,49.0,98.0
2022484408,2016-04-16 13:00:00,470,75.98297872340426,59.0,107.0
2022484408,2016-04-16 14:00:00,441,71.60090702947846,55.0,105.0
2022484408,2016-04-16 15:00:00,312,68.18910256410257,53.0,86.0
2022484408,2016-04-16 16:00:00,4,70.0,70.0,70.0
2022484408,2016-04-16 20:00:00,2,73.0,73.0,73.0
2022484408,2016-04-16 21:00:00,2,73.0,73.0,73.0
2022484408,2016-04-17 08:00:00,299,76.59866220735786,53.0,99.0
2022484408,2016-04-17 09:00:00,447,113.82774049217002,66.0,161.0
2022484408,2016-04-17 10:00:00,426,98.51877934272301,73.0,116.0
2022484408,2016-04-17 11:00:00,400,91.045,72.0,108.0
2022484408,2016-04-17 12:00:00,281,72.33096085409252,60.0,84.0
2022484408,2016-04-17 13:00:00,250,78.376,67.0,101.0
2022484408,2016-04-17 14:00:00,518,84.7992277992278,61.0,111.0
2022484408,2016-04-17 15:00:00,467,77.38758029978587,57.0,104.0
2022484408,2016-04-17 16:00:00,452,75.92477876106194,52.0,110.0
2022484408,2016-04-17 17:00:00,483,80.27743271221532,54.0,114.0
2022484408,2016-04-17 18:00:00,389,78.79434447300771,61.0,105.0
2022484408,2016-04-17 19:00:00,345,73.10144927536231,64.0,93.0
2022484408,2016-04-17 20:00:00,191,73.83769633507853,68.0,81.0
2022484408,2016-04-18 06:00:00,110,71.1,54.0,99.0
2022484408,2016-04-18 07:00:00,410,86.17073170731707,56.0,118.0
2022484408,2016-04-18 08:00:00,444,79.35585585585585,55.0,107.0
2022484408,2016-04-18 09:00:00,525,126.82857142857142,54.0,153.0
2022484408,2016-04-18 10:00:00,375,83.54133333333333,69.0,107.0
2022484408,2016-04-18 11:00:00,365,73.97534246575343,67.0,88.0
2022484408,2016-04-18 12:00:00,443,69.14446952595937,57.0,96.0
2022484408,2016-04-18 13:00:00,425,70.84705882352941,58.0,103.0
2022484408,2016-04-18 14:00:00,459,87.60130718954248,63.0,114.0
2022484408,2016-04-18 15:00:00,415,74.6578313253012,58.0,98.0
2022484408,2016-04-18 16:00:00,203,84.82758620689656,69.0,113.0
2022484408,2016-04-18 17:00:00,400,78.9475,58.0,114.0
2022484408,2016-04-18 18:00:00,428,77.3855140186916,55.0,100.0
2022484408,2016-04-18 19:00:00,419,79.4582338902148,65.0,98.0
2022484408,2016-04-18 20:00:00,168,70.45833333333333,62.0,82.0
2022484408,2016-04-19 09:00:00,407,73.93366093366093,54.0,104.0
2022484408,2016-04-19 10:00:00,426,70.27464788732394,56.0,105.0
2022484408,2016-04-19 11:00:00,432,71.41435185185185,56.0,106.0
