Id,ActivityDate,TotalSteps,prior_observed_steps,prior_observed_date,next_observed_date,rolling_7calendar_day_steps,running_steps
1503960366,2016-04-12,13162.0,,,2016-04-13,13162.0,13162.0
1503960366,2016-04-13,10735.0,13162.0,2016-04-12,2016-04-14,11948.5,23897.0
1503960366,2016-04-14,10460.0,10735.0,2016-04-13,2016-04-15,11452.333333333334,34357.0
1503960366,2016-04-15,9762.0,10460.0,2016-04-14,2016-04-16,11029.75,44119.0
1503960366,2016-04-16,12669.0,9762.0,2016-04-15,2016-04-17,11357.6,56788.0
1503960366,2016-04-17,9705.0,12669.0,2016-04-16,2016-04-18,11082.166666666666,66493.0
1503960366,2016-04-18,13019.0,9705.0,2016-04-17,2016-04-19,11358.857142857143,79512.0
1503960366,2016-04-19,15506.0,13019.0,2016-04-18,2016-04-20,11693.714285714286,95018.0
1503960366,2016-04-20,10544.0,15506.0,2016-04-19,2016-04-21,11666.42857142857,105562.0
1503960366,2016-04-21,9819.0,10544.0,2016-04-20,2016-04-22,11574.857142857143,115381.0
1503960366,2016-04-22,12764.0,9819.0,2016-04-21,2016-04-23,12003.714285714286,128145.0
1503960366,2016-04-23,14371.0,12764.0,2016-04-22,2016-04-24,12246.857142857143,142516.0
1503960366,2016-04-24,10039.0,14371.0,2016-04-23,2016-04-25,12294.57142857143,152555.0
1503960366,2016-04-25,15355.0,10039.0,2016-04-24,2016-04-26,12628.285714285714,167910.0
1503960366,2016-04-26,13755.0,15355.0,2016-04-25,2016-04-27,12378.142857142857,181665.0
1503960366,2016-04-27,18134.0,13755.0,2016-04-26,2016-04-28,13462.42857142857,199799.0
1503960366,2016-04-28,13154.0,18134.0,2016-04-27,2016-04-29,13938.857142857143,212953.0
1503960366,2016-04-29,11181.0,13154.0,2016-04-28,2016-04-30,13712.714285714286,224134.0
1503960366,2016-04-30,14673.0,11181.0,2016-04-29,2016-05-01,13755.857142857143,238807.0
1503960366,2016-05-01,10602.0,14673.0,2016-04-30,2016-05-02,13836.285714285714,249409.0
1503960366,2016-05-02,14727.0,10602.0,2016-05-01,2016-05-03,13746.57142857143,264136.0
1503960366,2016-05-03,15103.0,14727.0,2016-05-02,2016-05-04,13939.142857142857,279239.0
1503960366,2016-05-04,11100.0,15103.0,2016-05-03,2016-05-05,12934.285714285714,290339.0
1503960366,2016-05-05,14070.0,11100.0,2016-05-04,2016-05-06,13065.142857142857,304409.0
1503960366,2016-05-06,12159.0,14070.0,2016-05-05,2016-05-07,13204.857142857143,316568.0
1503960366,2016-05-07,11992.0,12159.0,2016-05-06,2016-05-08,12821.857142857143,328560.0
1503960366,2016-05-08,10060.0,11992.0,2016-05-07,2016-05-09,12744.42857142857,338620.0
1503960366,2016-05-09,12022.0,10060.0,2016-05-08,2016-05-10,12358.0,350642.0
1503960366,2016-05-10,12207.0,12022.0,2016-05-09,2016-05-11,11944.285714285714,362849.0
1503960366,2016-05-11,12770.0,12207.0,2016-05-10,,12182.857142857143,375619.0
1624580081,2016-04-12,8163.0,,,2016-04-13,8163.0,8163.0
1624580081,2016-04-13,7007.0,8163.0,2016-04-12,2016-04-14,7585.0,15170.0
1624580081,2016-04-14,9107.0,7007.0,2016-04-13,2016-04-15,8092.333333333333,24277.0
1624580081,2016-04-15,1510.0,9107.0,2016-04-14,2016-04-16,6446.75,25787.0
1624580081,2016-04-16,5370.0,1510.0,2016-04-15,2016-04-17,6231.4,31157.0
1624580081,2016-04-17,6175.0,5370.0,2016-04-16,2016-04-18,6222.0,37332.0
1624580081,2016-04-18,10536.0,6175.0,2016-04-17,2016-04-19,6838.285714285715,47868.0
1624580081,2016-04-19,2916.0,10536.0,2016-04-18,2016-04-20,6088.714285714285,50784.0
1624580081,2016-04-20,4974.0,2916.0,2016-04-19,2016-04-21,5798.285714285715,55758.0
1624580081,2016-04-21,6349.0,4974.0,2016-04-20,2016-04-22,5404.285714285715,62107.0
1624580081,2016-04-22,4026.0,6349.0,2016-04-21,2016-04-23,5763.714285714285,66133.0
1624580081,2016-04-23,8538.0,4026.0,2016-04-22,2016-04-24,6216.285714285715,74671.0
1624580081,2016-04-24,6076.0,8538.0,2016-04-23,2016-04-25,6202.142857142857,80747.0
1624580081,2016-04-25,6497.0,6076.0,2016-04-24,2016-04-26,5625.142857142857,87244.0
1624580081,2016-04-26,2826.0,6497.0,2016-04-25,2016-04-27,5612.285714285715,90070.0
1624580081,2016-04-27,8367.0,2826.0,2016-04-26,2016-04-28,6097.0,98437.0
1624580081,2016-04-28,2759.0,8367.0,2016-04-27,2016-04-29,5584.142857142857,101196.0
1624580081,2016-04-29,2390.0,2759.0,2016-04-28,2016-04-30,5350.428571428572,103586.0
1624580081,2016-04-30,6474.0,2390.0,2016-04-29,2016-05-01,5055.571428571428,110060.0
1624580081,2016-05-01,36019.0,6474.0,2016-04-30,2016-05-02,9333.142857142857,146079.0
1624580081,2016-05-02,7155.0,36019.0,2016-05-01,2016-05-03,9427.142857142857,153234.0
1624580081,2016-05-03,2100.0,7155.0,2016-05-02,2016-05-04,9323.42857142857,155334.0
1624580081,2016-05-04,2193.0,2100.0,2016-05-03,2016-05-05,8441.42857142857,157527.0
1624580081,2016-05-05,2470.0,2193.0,2016-05-04,2016-05-06,8400.142857142857,159997.0
1624580081,2016-05-06,1727.0,2470.0,2016-05-05,2016-05-07,8305.42857142857,161724.0
1624580081,2016-05-07,2104.0,1727.0,2016-05-06,2016-05-08,7681.142857142857,163828.0
1624580081,2016-05-08,3427.0,2104.0,2016-05-07,2016-05-09,3025.1428571428573,167255.0
1624580081,2016-05-09,1732.0,3427.0,2016-05-08,2016-05-10,2250.4285714285716,168987.0
1624580081,2016-05-10,2969.0,1732.0,2016-05-09,2016-05-11,2374.5714285714284,171956.0
1624580081,2016-05-11,3134.0,2969.0,2016-05-10,2016-05-12,2509.0,175090.0
1624580081,2016-05-12,2971.0,3134.0,2016-05-11,,2580.5714285714284,178061.0
1644430081,2016-04-12,10694.0,,,2016-04-13,10694.0,10694.0
1644430081,2016-04-13,8001.0,10694.0,2016-04-12,2016-04-14,9347.5,18695.0
1644430081,2016-04-14,11037.0,8001.0,2016-04-13,2016-04-15,9910.666666666666,29732.0
1644430081,2016-04-15,5263.0,11037.0,2016-04-14,2016-04-16,8748.75,34995.0
1644430081,2016-04-16,15300.0,5263.0,2016-04-15,2016-04-17,10059.0,50295.0
1644430081,2016-04-17,8757.0,15300.0,2016-04-16,2016-04-18,9842.0,59052.0
1644430081,2016-04-18,7132.0,8757.0,2016-04-17,2016-04-19,9454.857142857143,66184.0
1644430081,2016-04-19,11256.0,7132.0,2016-04-18,2016-04-20,9535.142857142857,77440.0
