Id,ActivityDate,TotalSteps,TotalMinutesAsleep,WeightKg,logs
1503960366,2016-04-12,13162.0,327.0,,
1503960366,2016-04-13,10735.0,384.0,,
1503960366,2016-04-14,10460.0,,,
1503960366,2016-04-15,9762.0,412.0,,
1503960366,2016-04-16,12669.0,340.0,,
1503960366,2016-04-17,9705.0,700.0,,
1503960366,2016-04-18,13019.0,,,
1503960366,2016-04-19,15506.0,304.0,,
1503960366,2016-04-20,10544.0,360.0,,
1503960366,2016-04-21,9819.0,325.0,,
1503960366,2016-04-22,12764.0,,,
1503960366,2016-04-23,14371.0,361.0,,
1503960366,2016-04-24,10039.0,430.0,,
1503960366,2016-04-25,15355.0,277.0,,
1503960366,2016-04-26,13755.0,245.0,,
1503960366,2016-04-27,18134.0,,,
1503960366,2016-04-28,13154.0,366.0,,
1503960366,2016-04-29,11181.0,341.0,,
1503960366,2016-04-30,14673.0,404.0,,
1503960366,2016-05-01,10602.0,369.0,,
1503960366,2016-05-02,14727.0,277.0,52.5999984741211,1.0
1503960366,2016-05-03,15103.0,273.0,52.5999984741211,1.0
1503960366,2016-05-04,11100.0,,,
1503960366,2016-05-05,14070.0,247.0,,
1503960366,2016-05-06,12159.0,334.0,,
1503960366,2016-05-07,11992.0,331.0,,
1503960366,2016-05-08,10060.0,594.0,,
1503960366,2016-05-09,12022.0,338.0,,
1503960366,2016-05-10,12207.0,383.0,,
1503960366,2016-05-11,12770.0,285.0,,
1624580081,2016-04-12,8163.0,,,
1624580081,2016-04-13,7007.0,,,
1624580081,2016-04-14,9107.0,,,
1624580081,2016-04-15,1510.0,,,
1624580081,2016-04-16,5370.0,,,
1624580081,2016-04-17,6175.0,,,
1624580081,2016-04-18,10536.0,,,
1624580081,2016-04-19,2916.0,,,
1624580081,2016-04-20,4974.0,,,
1624580081,2016-04-21,6349.0,,,
1624580081,2016-04-22,4026.0,,,
1624580081,2016-04-23,8538.0,,,
1624580081,2016-04-24,6076.0,,,
1624580081,2016-04-25,6497.0,,,
1624580081,2016-04-26,2826.0,,,
1624580081,2016-04-27,8367.0,,,
1624580081,2016-04-28,2759.0,,,
1624580081,2016-04-29,2390.0,,,
1624580081,2016-04-30,6474.0,,,
1624580081,2016-05-01,36019.0,,,
1624580081,2016-05-02,7155.0,,,
1624580081,2016-05-03,2100.0,,,
1624580081,2016-05-04,2193.0,,,
1624580081,2016-05-05,2470.0,,,
1624580081,2016-05-06,1727.0,,,
1624580081,2016-05-07,2104.0,,,
1624580081,2016-05-08,3427.0,,,
1624580081,2016-05-09,1732.0,,,
1624580081,2016-05-10,2969.0,,,
1624580081,2016-05-11,3134.0,,,
1624580081,2016-05-12,2971.0,,,
1644430081,2016-04-12,10694.0,,,
1644430081,2016-04-13,8001.0,,,
1644430081,2016-04-14,11037.0,,,
1644430081,2016-04-15,5263.0,,,
1644430081,2016-04-16,15300.0,,,
