Id,days_logged,first_date,last_date,valid_days,mean_steps,mean_active,mean_sedentary,mean_calories,engagement_score,rule_segment
1624580081,31,2016-04-12,2016-05-12,31,5743.903225806452,167.96774193548387,1257.741935483871,1483.3548387096773,100.0,Build routine
2022484408,31,2016-04-12,2016-05-12,31,11370.645161290322,313.0967741935484,1112.5806451612902,2509.967741935484,100.0,Keep momentum
2026352035,31,2016-04-12,2016-05-12,31,5566.870967741936,257.0,689.4193548387096,1540.6451612903227,100.0,Build routine
2320127002,31,2016-04-12,2016-05-12,31,4716.870967741936,202.1290322580645,1220.0967741935483,1724.1612903225807,100.0,Build routine
2873212765,31,2016-04-12,2016-05-12,31,7555.774193548387,328.2258064516129,1097.1935483870968,1916.967741935484,100.0,Keep momentum
4445114986,31,2016-04-12,2016-05-12,31,4796.548387096775,217.4516129032258,829.9032258064516,2186.1935483870966,100.0,Build routine
4558609924,31,2016-04-12,2016-05-12,31,7685.129032258064,309.06451612903226,1093.6129032258063,2033.258064516129,100.0,Keep momentum
5553957443,31,2016-04-12,2016-05-12,31,8612.58064516129,242.61290322580646,668.3548387096774,1875.6774193548388,100.0,Keep momentum
6962181067,31,2016-04-12,2016-05-12,31,9794.806451612903,287.1290322580645,662.3225806451613,1982.032258064516,100.0,Keep momentum
8053475328,31,2016-04-12,2016-05-12,31,14763.290322580646,245.70967741935485,1148.0,2945.8064516129034,100.0,Keep momentum
8378563200,31,2016-04-12,2016-05-12,31,8717.709677419354,225.03225806451613,716.1290322580645,3436.5806451612902,100.0,Keep momentum
8877689391,31,2016-04-12,2016-05-12,31,16040.032258064517,310.7096774193548,1112.8709677419354,3420.2580645161293,100.0,Keep momentum
1503960366,31,2016-04-12,2016-05-12,30,12520.633333333333,287.06666666666666,828.4333333333333,1876.9666666666667,96.7741935483871,Keep momentum
1644430081,30,2016-04-12,2016-05-11,30,7282.966666666666,209.4,1161.8666666666666,2811.3,96.7741935483871,Build routine
3977333714,30,2016-04-12,2016-05-11,30,10984.566666666668,254.93333333333334,707.5333333333333,1513.6666666666667,96.7741935483871,Keep momentum
4388161847,31,2016-04-12,2016-05-12,30,10837.0,281.96666666666664,816.5666666666667,3098.5,96.7741935483871,Keep momentum
4702921684,31,2016-04-12,2016-05-12,30,8857.8,277.6,743.9666666666667,2997.1666666666665,96.7741935483871,Keep momentum
7086361926,31,2016-04-12,2016-05-12,29,10017.034482758621,226.27586206896552,809.8965517241379,2630.793103448276,93.54838709677419,Keep momentum
4319703577,31,2016-04-12,2016-05-12,28,7769.107142857143,270.7142857142857,714.5357142857143,2119.0,90.3225806451613,Keep momentum
5577150313,30,2016-04-12,2016-05-11,28,8897.607142857143,284.0357142857143,705.4642857142857,3469.6785714285716,90.3225806451613,Keep momentum
8583815059,31,2016-04-12,2016-05-12,25,7630.2,211.0,1225.76,2837.56,80.64516129032258,Keep momentum
6290855005,29,2016-04-12,2016-05-10,24,6826.541666666667,281.375,1142.9583333333333,2772.7083333333335,77.41935483870968,Build routine
7007744171,26,2016-04-12,2016-05-07,24,12267.041666666666,355.375,1078.6666666666667,2686.125,77.41935483870968,Keep momentum
6117666160,28,2016-04-12,2016-05-09,23,8578.608695652174,355.4347826086956,656.3478260869565,2427.4347826086955,74.19354838709677,Keep momentum
3372868164,20,2016-04-12,2016-05-01,20,6861.65,341.15,1077.55,1933.1,64.51612903225806,Reconnect
8792009665,29,2016-04-12,2016-05-10,19,2829.3684210526317,147.73684210526315,934.0,2192.5263157894738,61.29032258064516,Reconnect
1844505072,31,2016-04-12,2016-05-12,18,4440.333333333333,201.05555555555554,1078.7777777777778,1774.5,58.064516129032256,Reconnect
8253242879,19,2016-04-12,2016-04-30,18,6842.277777777777,160.16666666666666,1278.888888888889,1887.3333333333333,58.064516129032256,Reconnect
1927972279,31,2016-04-12,2016-05-12,17,1670.5882352941176,74.17647058823529,1244.3529411764705,2303.0588235294117,54.83870967741935,Reconnect
2347167796,18,2016-04-12,2016-04-29,17,10077.176470588236,303.1764705882353,727.4705882352941,2139.9411764705883,54.83870967741935,Reconnect
6775888955,26,2016-04-12,2016-05-07,16,4093.9375,107.125,1211.625,2313.375,51.61290322580645,Reconnect
4020332650,31,2016-04-12,2016-05-12,15,4680.4,180.53333333333333,1021.2666666666667,2816.9333333333334,48.38709677419355,Reconnect
4057192912,4,2016-04-12,2016-04-15,3,5117.333333333333,140.33333333333334,1143.0,2039.6666666666667,9.67741935483871,Reconnect
