Id,mean_steps,quartile
1927972279,1670.5882352941176,1
8792009665,2829.3684210526317,1
6775888955,4093.9375,1
1844505072,4440.333333333333,1
4020332650,4680.4,1
2320127002,4716.870967741936,1
4445114986,4796.548387096775,1
4057192912,5117.333333333333,1
2026352035,5566.870967741936,1
1624580081,5743.903225806452,2
6290855005,6826.541666666667,2
8253242879,6842.277777777777,2
3372868164,6861.65,2
1644430081,7282.966666666666,2
2873212765,7555.774193548387,2
8583815059,7630.2,2
4558609924,7685.129032258064,2
4319703577,7769.107142857143,3
6117666160,8578.608695652174,3
5553957443,8612.58064516129,3
8378563200,8717.709677419354,3
4702921684,8857.8,3
5577150313,8897.607142857143,3
6962181067,9794.806451612903,3
7086361926,10017.034482758621,3
2347167796,10077.176470588236,4
4388161847,10837.0,4
3977333714,10984.566666666668,4
2022484408,11370.645161290322,4
7007744171,12267.041666666666,4
1503960366,12520.633333333333,4
8053475328,14763.290322580646,4
8877689391,16040.032258064517,4
